,speechiness,tempo
4AiBYR1E1iXr4TH7Gb9DBp,0.0326,81.963
5dwT1VohRzyqh0qO4HqsJm,0.178,130.045
5B6DFK5wY5OLdJoZxIPVx7,0.297,69.737
3vqZ7f4w6fNv6Wt0FS8LAx,0.0289,110.021
5SzoFexynLVceTLggJTZZM,0.028,84.809
7fCPG5pYsv3lPNyGOjvtbE,0.027,147.531
0pGdmGx8l6OkT3FGgudLUr,0.0394,74.377
1t88m8JUlqn9kf0FLmVta5,0.0424,136.045
0RensS2qAveOZwiRN3jdEs,0.036,98.711
6MSd4awjGA81m2HP863Ip3,0.0769,171.664
0N3W5peJUQtI4eyR6GJT5O,0.0977,107.059
6sqNctd7MlJoKDOxPVCAvU,0.0758,170.229
0B03fxtlHqATqFyy50mxKU,0.109,114.02
2ErAwXXUgBGLXwm4IgZRQv,0.0347,100.975
6cbaI9x2MveT4uJ5JY2DzL,0.0665,136.09
6TWgRy0WZEyPFIkYU505s8,0.226,77.949
1kuID2OOHYr4rJjsEMMRG7,0.476,86.878
33pEKWX4isAp2xAp82gzbj,0.0457,92.015
78z0SUfc9HaQLXsOyWHBpL,0.0959,99.992
3aPi2gQUEQYNuAwxkmlO05,0.0878,110.771
0azC730Exh71aQlOt9Zj3y,0.0332,123.962
3skC4mUK23HjA5AaJV0fMw,0.107,114.9
2j7CqMp5Tq4fzxlyJSZzUK,0.0614,131.978
07lZt2VQlkNtNTyK1qGLw0,0.041,184.089
34vVztCAeKpPtzYfGHQjiV,0.192,76.976
6JVX7L7LW8ABr7iZK8jm4J,0.0323,89.771
5t1fGKHTgmr8CZa3a98SfT,0.0486,135.901
7yz7xxHAG4ChgrSeMvIXIo,0.0963,127.935
0KETaRfod0c2Qow4MaPW9r,0.164,105.955
3xbKyhn7Bk0XDVecWF793N,0.035,82.481
5FmozEXMXttaTyrjtxuLoS,0.0596,159.994
4CUL94dZIhxuBXFIKJ7UIr,0.0278,111.807
0fnJoLa9B1Epwd0x9ZxyD3,0.0454,140.003
1RgPtXc8AmD8XlmP0IuBr4,0.0812,143.145
28urem2KpSOkljclEk8X8G,0.0377,144.015
2tHImX6L0zzQKyle2E99O4,0.094,106.039
6C3yPXYG2NJYlIYVe5J7hv,0.0536,95.021
74HYrIbnpc2xKCTenv5qKM,0.0941,82.193
5VlojXyAGM1q9ke2ybxrVT,0.0314,153.903
4GVe9uw8F6GCTExf3YPd5x,0.0293,88.309
5L95vS64rG1YMIFm1hLjyZ,0.0538,162.024
3Nmz9Cy5UFZBCrjWMmlIqs,0.0391,99.149
2rldjI2fK6nYwlMgaITluf,0.0294,71.925
4ez6jgrSJlMRA2lrMspRgj,0.0317,155.708
6XMPZPjoK8T7Rh4b2QrcJ5,0.0692,124.023
7IegIKbRwa0QRLaVQiWLnY,0.0468,140.047
2BFeLCEDQBecReNuLbOHoQ,0.218,144.006
